level,total_xp,id,username,discriminator,avatar,message_count,XP/LEVEL,level_requirement,percent,last_message
68,654439,194511605613068289,beb,6045,43f0dd3fa17da2de2c0ce001cccf0b14,32716,21189,26620,0.796,"2022-02-05, 21:39"
63,526205,328696709293015041,Starsmun,0001,a_6da3871907890165dc20012d8075d308,26302,15380,23095,0.6659,"2022-02-05, 21:39"
54,337001,431366073544343553,greog,0895,924186ddb2cab2e5aaca66ef4f8fb9e2,16830,4856,17380,0.2794,"2022-02-05, 21:39"
48,247049,330295979830018049,avocado,7420,fbb042f0b3be44d67dc8eafb1e61b9e0,12354,7249,14020,0.517,"2022-02-05, 21:39"
47,239296,330960525817282560,cl13,1827,f7493533e564599e465c1e71294bec9c,11926,12991,13495,0.9627,"2022-02-05, 21:39"
44,193113,183711326634246144,ayep,0449,2e6db391b49284b977d2db3d82a73ce4,9651,4243,11980,0.3542,"2022-02-05, 21:39"
42,168623,225912685982646274,Legume,9413,5fefa3973c42f26c2c404c99a1eb6bf0,8429,2268,11020,0.2058,"2022-02-05, 21:39"
36,117443,328440989419044864,Small,7640,da28873c7fbad13ea384b2cd0a72e126,5866,7793,8380,0.93,"2022-02-05, 21:39"
30,71132,150655770801864705,ShogunJS,9875,a_f08fd0bab83acf4e6073c7a91d64ba75,3559,3607,6100,0.5913,"2022-02-05, 21:39"
27,55255,399294662281658369,nato,4959,d2bdbb585f57257abd71bf266dd53cdc,2752,4000,5095,0.7851,"2022-02-05, 21:39"
26,47128,277185468641050624,mmmmhilads,7075,3e99fc0eaf7c272195dfe8066720ddab,2352,653,4780,0.1366,"2022-02-05, 21:39"
26,47014,898569310904127489,cilantro,2573,fdc5b034ee0cba1b91f5038c11016c5d,2351,539,4780,0.1128,"2022-02-05, 21:39"
23,37071,248172123380514816,goldeon,2794,22b50841020b3f3742257dd9baae17cb,1854,3146,3895,0.8077,"2022-02-05, 21:39"
20,24467,535197192265138198,hottox,8492,f98324d4342aee0de40a33976d126c5e,1230,617,3100,0.199,"2022-02-05, 21:39"
18,20988,717246837731360768,bird up,1523,9ee0f9a79c1b4a83bc5351c8edb51d2d,1050,2613,2620,0.9973,"2022-02-05, 21:39"
18,20035,603446643173621781,cl13,2477,1344aaa1b0f16ad44e05970596368f13,1009,1660,2620,0.6336,"2022-02-05, 21:39"
18,19646,327236233652862977,A_Horse,7701,60c3e255cf03abebb683437f4b5dbae8,983,1271,2620,0.4851,"2022-02-05, 21:39"
17,17263,681661157723209728,Morgy,6969,09af6f2de33a46b48644f3138f04899b,863,1283,2395,0.5357,"2022-02-05, 21:39"
15,13323,365636378681409546,Dr.Diabetacle,6554,ce13bfa2c83afad3904ed447d2444a04,668,1498,1975,0.7585,"2022-02-05, 21:39"
15,12394,440814021134909450,Goldfish,0585,1dbc56480a4f1c75a040f5609deba630,617,569,1975,0.2881,"2022-02-05, 21:39"
